alias,positive_emotion_all_lemma_count_Shannons,positive_emotion_unique_count_Shannons,unique positive emotion lemmas_Shannons,positive_diversity_lem,negative_emotion_all_lemma_count_Shannons,negative_emotion_unique_count_Shannons,unique negative emotion lemmas_Shannons,negative_diversity_lem,connectionId,posemo_person_avg,negemo_person_avg,Mental_mean
 !vmzz zwoh,870,71,"['content', 'focussen', 'gelukkig', 'gemak', 'amusant', 'gezellig', 'opgelucht', 'verrassing', 'vrij', 'plezier', 'interessant', 'boeien', 'gerust', 'kalm', 'lekker', 'relaxed', 'benieuwd', 'goed', 'relaxerend', 'interesse', 'leuk', 'behulpzaam', 'geïnteresseerd', 'fijn', 'ontspanning', 'grappig', 'gezelschap', 'wakker', 'blij', 'focus', 'normaal', 'actief', 'prima', 'ontspannen', 'ça_va', 'amuseren', 'hopen', 'hoop', 'motivatie', 'concentreren', 'prettig', 'optimistisch', 'zeker', 'top', 'rust', 'uit_rusten', 'aangenaam', 'tof', 'positief', 'optimisme', 'veilig', 'verband', 'concentratie', 'ontspannend', 'feliciteren', 'plezant', 'spannend', 'oké', 'relaxen', 'rustig', 'gerust_stelling', 'capabel', 'tevreden', 'uit_kijken', 'nieuwsgierig', 'cool', 'geluk', 'productief', 'enthousiast', 'indrukwekkend', 'zin']",2.911524265,230,46,"['moeizaam', 'stresserend', 'stresseren', 'verveling', 'aan_doen', 'falen', 'pijn', 'stress', 'vermoeidheid', 'vervelend', 'nerveus', 'verliezen', 'saai', 'missen', 'erg', 'raken', 'twijfel', 'ziek', 'heftig', 'vervelen', 'zenuwachtigheid', 'moe', 'sluiten', 'ernstig', 'vermoeiend', 'supporteren', 'drukken', 'last', 'zenuwachtig', 'verlaten', 'betwijfelen', 'lastig', 'oninteressant', 'bemoeien', 'onverwacht', 'boos', 'bezorgen', 'spijtig', 'woest', 'slecht', 'spanning', 'minderen', 'irriteren', 'schrik', 'onzekerheid', 'vermoeid']",2.995935661,183985,4.019492386,1.338324873,20.33333333
!aeby cydt,1027,57,"['fun', 'energiek', 'gelukkig', 'gemak', 'moed', 'gezellig', 'warm', 'vrij', 'plezier', 'interessant', 'gerust', 'rustgevend', 'lekker', 'goed', 'leuk', 'gezond', 'fijn', 'ontspanning', 'op_warmen', 'energie', 'gezelschap', 'wakker', 'blij', 'normaal', 'prima', 'ontspannen', 'chillen', 'ça_va', 'verbazen', 'amuseren', 'voorzichtig', 'hopen', 'hoop', 'zeker', 'genieten', 'rust', 'energievol', 'uit_rusten', 'lustig', 'moeien', 'aangenaam', 'tof', 'positief', 'concentratie', 'ontspannend', 'bon', 'goed_gezind', 'deugd', 'plezant', 'spannend', 'oké', 'rustig', 'vriendelijk', 'power', 'uit_kijken', 'zen', 'zin']",2.654537052,192,49,"['pittig', 'moeizaam', 'stresserend', 'slecht_gezind', 'aan_doen', 'bang', 'gek', 'ongeluk', 'vrezen', 'verschrikkelijk', 'stress', 'vermoeidheid', 'vervelend', 'beu', 'verliezen', 'saai', 'kapot', 'op_draaien', 'erg', 'raken', 'onrustig', 'ziek', 'heftig', 'vervelen', 'moe', 'sluiten', 'vermoeiend', 'honger', 'last', 'uit_kloppen', 'twijfelen', 'verlaten', 'lastig', 'smerig', 'af_wisselen', 'boos', 'schuldig', 'ambetant', 'kwaad', 'spannen', 'blesseren', 'slecht', 'rommelig', 'spanning', 'forceren', 'absurd', 'verslag', 'reserveren', 'vermoeid']",3.091656772,231022,2.828964143,0.491075697,18.66666667
!akzm nrbp,693,70,"['focussen', 'gelukkig', 'gemak', 'moed', 'veiligheid', 'gezellig', 'warm', 'vieren', 'vrij', 'interessant', 'boeien', 'kalm', 'lekker', 'surprise', 'chill', 'benieuwd', 'nuchter', 'goed', 'nice', 'interesse', 'leuk', 'voldoen', 'gezond', 'fijn', 'energie', 'grappig', 'wakker', 'good', 'blij', 'excited', 'verrassen', 'normaal', 'motiverend', 'ontspannen', 'kalmeren', 'lief', 'chillen', 'ça_va', 'hopen', 'hoop', 'concentreren', 'zeker', 'top', 'genieten', 'rust', 'sentimenteel', 'uit_rusten', 'aangenaam', 'tof', 'positief', 'veilig', 'trots', 'ontspannend', 'bon', 'duidelijkheid', 'goed_gezind', 'deugd', 'spannend', 'goesting', 'oké', 'comfort', 'relaxen', 'rustig', 'vriendelijk', 'prikkelen', 'boeiend', 'geluk', 'productief', 'indrukwekkend', 'zin']",3.15761217,183,68,"['pittig', 'depressief', 'numb', 'slecht_gezind', 'stressen', 'verveling', 'aan_doen', 'op_jagen', 'afleiding', 'bang', 'pijn', 'gek', 'zinloos', 'vrezen', 'stress', 'eenzaam', 'vervelend', 'hangry', 'gestresseerd', 'pissed', 'kut', 'verliezen', 'saai', 'awkward', 'missen', 'passief', 'kapot', 'boosheid', 'spijt', 'af_wijzen', 'ongerust', 'erg', 'raken', 'twijfel', 'bezorgdheid', 'ziek', 'heftig', 'moe', 'puzzelen', 'sluiten', 'haten', 'vermoeiend', 'honger', 'afstandelijk', 'hart_pijn', 'zenuwachtig', 'trauma', 'emotioneel', 'geïrriteerd', 'irritant', 'twijfelen', 'betwijfelen', 'onzeker', 'zot', 'breken', 'boos', 'schuldig', 'spijtig', 'demotiveren', 'af_wachten', 'pijnlijk', 'overweldigen', 'spannen', 'uit_sluiten', 'slecht', 'uit_dagen', 'onproductief', 'benauwd']",3.816221574,184111,3.381146789,0.999357798,17.5
!azkg emme,1149,83,"['content', 'fun', 'focussen', 'gelukkig', 'moed', 'verleiden', 'gezellig', 'warm', 'vrij', 'plezier', 'interessant', 'boeien', 'gerust', 'kalm', 'lekker', 'surprise', 'chill', 'zalig', 'goed', 'nice', 'interesse', 'leuk', 'betrekken', 'gezond', 'vertrouwen', 'zekerheid', 'geïnteresseerd', 'fijn', 'ontspanning', 'energie', 'opgewekt', 'passie', 'wakker', 'good', 'blij', 'excited', 'focus', 'normaal', 'begrijpelijk', 'actief', 'prima', 'stimuleren', 'ontspannen', 'lief', 'chillen', 'amuseren', 'alright', 'dankbaar', 'hopen', 'hoop', 'motivatie', 'concentreren', 'prettig', 'interesseren', 'optimistisch', 'zeker', 'love', 'genieten', 'rust', 'uit_rusten', 'comfortabel', 'respect', 'tof', 'positief', 'veilig', 'trots', 'fantastisch', 'motiveren', 'warmte', 'spannend', 'oké', 'subliem', 'rustig', 'uit_kijken', 'cool', 'geluk', 'sympathiek', 'verbinding', 'productief', 'verliefd', 'opluchting', 'zin', 'zelfvertrouwen']",2.959568941,453,93,"['depressief', 'jaloers', 'stressen', 'verwarrend', 'triest', 'aan_doen', 'falen', 'angst', 'verdriet', 'introvert', 'afleiding', 'bang', 'pijn', 'boring', 'gek', 'wantrouwen', 'negatief', 'ongeluk', 'hyperactief', 'agressief', 'stress', 'eenzaam', 'asociaal', 'vervelend', 'vechten', 'pissed', 'kut', 'verliezen', 'saai', 'zielig', 'draaierig', 'negeren', 'missen', 'down', 'kapot', 'faal_angst', 'hongerig', 'wraak', 'erg', 'raken', 'storen', 'sarcastisch', 'burn-out', 'ziek', 'vervelen', 'nutteloos', 'moe', 'hekel', 'lijden', 'pessimistisch', 'ergeren', 'haten', 'honger', 'supporteren', 'drukken', 'hopeloos', 'op_fokken', 'haat', 'trauma', 'emotioneel', 'irritant', 'twijfelen', 'onverschillig', 'kut_gevoel', 'lastig', 'onzeker', 'angstig', 'zot', 'ongeduldig', 'krap', 'conflict', 'gruwelijk', 'boos', 'schuldig', 'duizelig', 'spijtig', 'verslaan', 'kwaad', 'onnuttig', 'pijnlijk', 'af_leiden', 'slecht', 'spanning', 'forceren', 'crazy', 'hatelijk', 'wanhoop', 'absurd', 'doodop', 'woede', 'arrogant', 'pissig', 'schrik']",3.56971342,231876,2.171210938,0.928359375,21.16666667
!beby pzaf,987,61,"['gelukkig', 'vertrouwd', 'verbinden', 'gezellig', 'warm', 'vieren', 'vrij', 'interessant', 'lekker', 'overtuigen', 'benieuwd', 'goed', 'nice', 'leuk', 'vertrouwen', 'fijn', 'energie', 'grappig', 'wakker', 'blij', 'verrassen', 'normaal', 'ontspannen', 'lief', 'op_pompen', 'chillen', 'ça_va', 'amuseren', 'dankbaar', 'bevestigen', 'hopen', 'hoop', 'motivatie', 'concentreren', 'zeker', 'genieten', 'uit_rusten', 'aangenaam', 'tof', 'positief', 'trots', 'attractie', 'ontspannend', 'bon', 'motiveren', 'warmte', 'deugd', 'plezant', 'spannend', 'oké', 'relaxen', 'nostalgie', 'rustig', 'vriendelijk', 'geweldig', 'tevreden', 'cool', 'geluk', 'productief', 'zen', 'zin']",2.857432835,478,77,"['machteloos', 'rot', 'stresserend', 'slecht_gezind', 'jaloers', 'stressen', 'ongelukkig', 'angst', 'bang', 'pijn', 'gek', 'confronteren', 'ongeluk', 'schrikken', 'triestig', 'verschrikkelijk', 'stress', 'medelijden', 'vervelend', 'vechten', 'dwingen', 'gestresseerd', 'pissed', 'kut', 'verliezen', 'saai', 'teleur_stellen', 'beangstigen', 'missen', 'bad', 'down', 'slaperig', 'spijt', 'achter_laten', 'ongerust', 'op_draaien', 'erg', 'storen', 'belachelijk', 'ziek', 'frustreren', 'heftig', 'nutteloos', 'moe', 'sluiten', 'lijden', 'overdrijven', 'vermoeiend', 'honger', 'supporteren', 'hysterisch', 'last', 'zenuwachtig', 'emotioneel', 'geïrriteerd', 'irritant', 'isoleren', 'war', 'onzeker', 'lui', 'stressed', 'boos', 'schuldig', 'bezorgen', 'eng', 'ambetant', 'kwaad', 'demotiveren', 'kwetsen', 'af_leiden', 'slecht', 'minderen', 'doodop', 'onnozel', 'irriteren', 'schrik', 'frustrerend']",3.255028361,179202,3.833869732,1.689386973,23.8
!bpzt myox,1112,97,"['fun', 'energiek', 'spontaan', 'gelukkig', 'gemak', 'moed', 'kracht', 'amusant', 'gezellig', 'warm', 'vieren', 'vrij', 'plezier', 'interessant', 'boeien', 'enthousiasme', 'gerust', 'lekker', 'chill', 'trotseren', 'overtuigen', 'zalig', 'benieuwd', 'goed', 'nice', 'interesse', 'leuk', 'fijn', 'ontspanning', 'op_warmen', 'engageren', 'energie', 'grappig', 'rationeel', 'opgewekt', 'wakker', 'inspireren', 'gereed', 'blij', 'verrassen', 'normaal', 'ontspannen', 'hoopvol', 'lief', 'chillen', 'ça_va', 'verbazen', 'fier', 'amuseren', 'dankbaar', 'beleven', 'bevestigen', 'hopen', 'hoop', 'comforting', 'interesseren', 'zeker', 'love', 'genieten', 'rust', 'sentimenteel', 'uit_rusten', 'empathie', 'respect', 'humor', 'uitbundig', 'aangenaam', 'tof', 'positief', 'veilig', 'gerust_stellen', 'trots', 'fantastisch', 'sympathie', 'ontspannend', 'bon', 'deugd', 'plezant', 'spannend', 'goesting', 'oké', 'charme', 'rustig', 'vriendelijk', 'heerlijk', 'geweldig', 'tevreden', 'neutraal', 'cool', 'joviaal', 'geluk', 'sympathiek', 'productief', 'verliefd', 'ambitie', 'enthousiast', 'zin']",3.249381169,285,96,"['moeizaam', 'schok', 'slecht_gezind', 'verveling', 'triest', 'groggy', 'aan_doen', 'onproductiviteit', 'angst', 'bang', 'pijn', 'gek', 'ongeluk', 'schrikken', 'gefrustreerd', 'verschrikkelijk', 'stress', 'vermoeidheid', 'asociaal', 'vervelend', 'hulpeloos', 'nerveus', 'beu', 'vechten', 'impulsief', 'verliezen', 'saai', 'teleur_stellen', 'zielig', 'negeren', 'missen', 'beschuldigen', 'frustratie', 'weg_gooien', 'humeurig', 'down', 'kapot', 'spijt', 'wreed', 'achter_laten', 'erg', 'heimwee', 'raken', 'inspanning', 'compliceren', 'storen', 'onrustig', 'ziek', 'frustreren', 'heftig', 'vervelen', 'nutteloos', 'moe', 'sluiten', 'lijden', 'haten', 'overdrijven', 'vermoeiend', 'honger', 'doodsmoe', 'drukken', 'last', 'emotioneel', 'geïrriteerd', 'schuld_gevoel', 'dwaas', 'kwalijk', 'lastig', 'angstig', 'zot', 'onverwacht', 'ongeduldig', 'lui', 'boos', 'ambetant', 'spijtig', 'ruw', 'woelig', 'kwaad', 'af_wachten', 'uitdaging', 'pijnlijk', 'woest', 'spannen', 'schuld', 'slecht', 'koppig', 'spanning', 'onduidelijkheid', 'onproductief', 'schade', 'onnozel', 'bitter', 'irriteren', 'schrik', 'beschadigen']",3.778990028,222454,2.947008547,0.848632479,20.5
!cdnf cbfq,671,91,"['content', 'spontaan', 'gelukkig', 'gemak', 'moed', 'steunen', 'kracht', 'gezellig', 'warm', 'vieren', 'vrij', 'hilarisch', 'interessant', 'gerust', 'kalm', 'ontstressen', 'lekker', 'chill', 'op_wekken', 'overtuigen', 'zalig', 'benieuwd', 'nuchter', 'goed', 'leuk', 'vertrouwen', 'fijn', 'ontspanning', 'op_warmen', 'energie', 'grappig', 'passie', 'wakker', 'good', 'blij', 'focus', 'normaal', 'actief', 'ontspannen', 'kalmeren', 'hoopvol', 'lief', 'happiness', 'ça_va', 'amuseren', 'dankbaar', 'bevestigen', 'voorzichtig', 'liefde', 'hopen', 'hoop', 'happy', 'troost', 'interesseren', 'zeker', 'top', 'love', 'genieten', 'rust', 'uit_rusten', 'geestig', 'sukkelen', 'aangenaam', 'tof', 'positief', 'verband', 'trots', 'vermaak', 'lust', 'bon', 'joy', 'curieus', 'motiveren', 'warmte', 'deugd', 'plezant', 'spannend', 'goesting', 'oké', 'nostalgie', 'rustig', 'vriendelijk', 'heerlijk', 'geweldig', 'tevreden', 'uit_kijken', 'geluk', 'verliefd', 'enthousiast', 'sexy', 'zin']",3.578037777,313,88,"['versleten', 'pittig', 'chaotisch', 'paniekerig', 'jaloers', 'stresseren', 'aan_doen', 'bang', 'pijn', 'gek', 'confronteren', 'negatief', 'horror', 'triestig', 'vrezen', 'verschrikkelijk', 'stress', 'ontgoocheld', 'maf', 'asociaal', 'vervelend', 'nerveus', 'beu', 'verliezen', 'miserie', 'missen', 'frustratie', 'weg_gooien', 'down', 'kapot', 'enerveren', 'honger_gevoel', 'spijt', 'piekeren', 'wreed', 'ongerust', 'erg', 'raken', 'twijfel', 'storen', 'belachelijk', 'negativiteit', 'burn-out', 'ziek', 'frustreren', 'heftig', 'vervelen', 'nutteloos', 'deprimeren', 'jaloezie', 'moe', 'jagen', 'sluiten', 'ergeren', 'vermoeiend', 'laf', 'honger', 'drukken', 'last', 'zenuwachtig', 'emotioneel', 'twijfelen', 'respectloos', 'verkrampen', 'panikeren', 'lastig', 'angstig', 'zot', 'lazy', 'onverwacht', 'af_wisselen', 'schuldig', 'bezorgen', 'ambetant', 'spijtig', 'kwaad', 'nervositeit', 'af_wachten', 'verwaarlozen', 'slecht', 'spanning', 'paniek', 'verlangen', 'depressie', 'onnozel', 'belasten', 'irriteren', 'frustrerend']",3.835813999,180588,1.868173516,0.980228311,18.25
!cfoo nsyb,545,26,"['gelukkig', 'gemak', 'gezellig', 'warm', 'vrij', 'interessant', 'lekker', 'goed', 'leuk', 'fijn', 'wakker', 'blij', 'ontspannen', 'chillen', 'ça_va', 'hopen', 'concentreren', 'uit_rusten', 'tof', 'motiveren', 'deugd', 'plezant', 'oké', 'rustig', 'geweldig', 'zin']",2.129226008,108,19,"['afleiding', 'stress', 'eenzaam', 'vervelend', 'miserie', 'kapot', 'spijt', 'stressvol', 'storen', 'ziek', 'frustreren', 'vervelen', 'moe', 'vermoeiend', 'lastig', 'boos', 'ambetant', 'slecht', 'frustrerend']",1.583824335,237111,8.266990291,0.615679612,23.5
!cnxa ybfd,953,109,"['content', 'energiek', 'bevrijden', 'gelukkig', 'gemak', 'moed', 'ontluchten', 'gemoedelijk', 'gezellig', 'warm', 'verbindend', 'vrij', 'plezier', 'boeien', 'enthousiasme', 'gerust', 'rustgevend', 'lekker', 'chill', 'relaxed', 'overtuigen', 'zalig', 'benieuwd', 'fascineren', 'goed', 'begripvol', 'nice', 'interesse', 'leuk', 'veelbelovend', 'behulpzaam', 'betrekken', 'voldoen', 'vertrouwen', 'fijn', 'ontspanning', 'op_warmen', 'energie', 'grappig', 'wakker', 'luimen', 'inspireren', 'anticiperen', 'blij', 'normaal', 'begrijpelijk', 'actief', 'prima', 'stimuleren', 'ontspannen', 'kalmeren', 'lief', 'op_pompen', 'chillen', 'ça_va', 'verbazen', 'amuseren', 'dankbaar', 'beleven', 'hopen', 'hoop', 'motivatie', 'happy', 'concentreren', 'appreciëren', 'interesseren', 'zeker', 'genieten', 'vrolijk', 'rust', 'uit_rusten', 'moeien', 'aangenaam', 'hyper', 'tof', 'positief', 'welzijn', 'veilig', 'gerust_stellen', 'verband', 'fantastisch', 'attractie', 'accepteren', 'ontspannend', 'bon', 'motiveren', 'goed_gezind', 'deugd', 'plezant', 'spannend', 'vrijheid', 'goesting', 'oké', 'comfort', 'pret', 'rustig', 'gerust_stelling', 'vriendelijk', 'heerlijk', 'geweldig', 'tevreden', 'bevredigen', 'neutraal', 'geluk', 'sympathiek', 'productief', 'enthousiast', 'opluchting', 'zin']",3.495984144,388,117,"['gevoelsmatig', 'pittig', 'machteloos', 'overwerken', 'moeizaam', 'chaotisch', 'stresserend', 'slecht_gezind', 'stresseren', 'verwarrend', 'groggy', 'falen', 'knagen', 'op_jagen', 'suffen', 'afleiding', 'bang', 'pijn', 'gek', 'neerslachtig', 'negatief', 'degouteren', 'moedeloos', 'triestig', 'afkeer', 'stress', 'verdrietig', 'medelijden', 'vermoeidheid', 'eenzaam', 'vervelend', 'hangerig', 'beu', 'gestresseerd', 'impulsief', 'kut', 'verliezen', 'ergerlijk', 'vreselijk', 'saai', 'zielig', 'waanzinnig', 'missen', 'passief', 'frustratie', 'bad', 'suf', 'down', 'kapot', 'spijt', 'griezelig', 'gevoelig', 'tegenzin', 'achter_laten', 'choqueren', 'ontevreden', 'erg', 'raken', 'twijfel', 'inspanning', 'storen', 'belachelijk', 'negativiteit', 'ziek', 'frustreren', 'vervelen', 'nutteloos', 'moe', 'puzzelen', 'sluiten', 'ernstig', 'ergeren', 'haten', 'overdrijven', 'vermoeiend', 'dramatisch', 'honger', 'last', 'ongemotiveerd', 'op_fokken', 'droevig', 'zenuwachtig', 'emotioneel', 'irritant', 'twijfelen', 'kwalijk', 'lastig', 'zot', 'onverwacht', 'ongeduldig', 'breken', 'conflict', 'gruwelijk', 'demotiverend', 'gênant', 'boos', 'bezorgen', 'ambetant', 'onaangenaam', 'shockeren', 'kwaad', 'af_wachten', 'pijnlijk', 'spannen', 'schuld', 'af_leiden', 'slecht', 'spanning', 'onproductief', 'absurd', 'onnozel', 'verslag', 'reserveren', 'pissig', 'schrik', 'frustrerend', 'onzekerheid']",4.072406005,181842,2.823639706,0.893823529,23.4
!crxr gzux,516,53,"['fun', 'energiek', 'focussen', 'gelukkig', 'tam', 'drijven', 'warm', 'vrij', 'kalm', 'chill', 'relaxed', 'goed', 'interesse', 'leuk', 'gezond', 'vertrouwen', 'fijn', 'ontspanning', 'energie', 'wakker', 'luimen', 'blij', 'focus', 'normaal', 'begrijpelijk', 'actief', 'ontspannen', 'chillen', 'amuseren', 'hopen', 'appreciëren', 'rust', 'uit_rusten', 'comfortabel', 'aangenaam', 'hyper', 'goed_luimen', 'positief', 'verband', 'accepteren', 'ontspannend', 'motiveren', 'nostalgisch', 'deugd', 'oké', 'relaxen', 'rustig', 'ongestoord', 'geweldig', 'tevreden', 'productief', 'enthousiast', 'zin']",3.104323623,255,65,"['onwennig', 'stresserend', 'moeheid', 'stresseren', 'verwarrend', 'op_jagen', 'pijn', 'confronteren', 'negatief', 'miserabel', 'vrezen', 'oncomfortabel', 'stress', 'vermoeidheid', 'nerveus', 'beu', 'dwingen', 'misselijkheid', 'wazig', 'verliezen', 'saai', 'teleur_stellen', 'passief', 'frustratie', 'humeurig', 'down', 'slaperig', 'gevoelig', 'tegenzin', 'ongerust', 'wraak', 'erg', 'futloos', 'raken', 'inspanning', 'storen', 'ziek', 'frustreren', 'vervelen', 'nutteloos', 'deprimeren', 'moe', 'jagen', 'sluiten', 'vermoeiend', 'last', 'zenuwachtig', 'isoleren', 'war', 'onzeker', 'onverwacht', 'ongeduldig', 'lui', 'af_wisselen', 'onaangenaam', 'gehumeurd', 'uitdaging', 'pijnlijk', 'overweldigen', 'spannen', 'schuld', 'slecht', 'spanning', 'irriteren', 'frustrerend']",3.528086031,181020,3.959704797,1.915276753,22
!dcxf mnzu,887,66,"['focussen', 'gelukkig', 'vertrouwd', 'gemak', 'moed', 'steunen', 'gezellig', 'warm', 'vieren', 'plezier', 'interessant', 'verzadigen', 'gerust', 'op_peppen', 'kalm', 'lekker', 'chill', 'relaxed', 'benieuwd', 'goed', 'interesse', 'leuk', 'voldoen', 'gezond', 'ontspanning', 'energie', 'grappig', 'wakker', 'anticiperen', 'blij', 'excited', 'normaal', 'actief', 'ontspannen', 'hoopvol', 'chillen', 'ça_va', 'hopen', 'hoop', 'motivatie', 'concentreren', 'zeker', 'genieten', 'vrolijk', 'rust', 'energievol', 'uit_rusten', 'aangenaam', 'tof', 'positief', 'trots', 'concentratie', 'geruststellend', 'motiveren', 'deugd', 'spannend', 'oké', 'relaxen', 'rustig', 'power', 'tevreden', 'uit_kijken', 'neutraal', 'productief', 'opluchting', 'zin']",3.099451675,350,69,"['pittig', 'aan_doen', 'triggeren', 'afleiding', 'bang', 'pijn', 'gek', 'neerslachtig', 'negatief', 'kwetsbaar', 'vrezen', 'stress', 'verdrietig', 'gemeen', 'eenzaam', 'vervelend', 'hulpeloos', 'hangry', 'beu', 'gestresseerd', 'kut', 'wazig', 'verliezen', 'vreselijk', 'saai', 'awkward', 'missen', 'bad', 'down', 'piekeren', 'tegenzin', 'hongerig', 'erg', 'stressvol', 'raken', 'twijfel', 'storen', 'belachelijk', 'ziek', 'frustreren', 'heftig', 'deprimeren', 'moe', 'sluiten', 'vermoeiend', 'sad', 'honger', 'drukken', 'last', 'geïrriteerd', 'irritant', 'onbeleefd', 'schuld_gevoel', 'deprimerend', 'war', 'onzeker', 'onverwacht', 'lui', 'boos', 'irritatie', 'af_wachten', 'slecht', 'spanning', 'forceren', 'onproductief', 'irriteren', 'schrik', 'frustrerend', 'onzekerheid']",3.199983475,192391,3.548587361,1.245873606,17.33333333
!dhod jqer,583,70,"['content', 'fun', 'energiek', 'focussen', 'gelukkig', 'gemak', 'moed', 'gezellig', 'warm', 'vieren', 'verrassing', 'vrij', 'plezier', 'interessant', 'gerust', 'kalm', 'lekker', 'chill', 'zalig', 'benieuwd', 'goed', 'nice', 'leuk', 'fijn', 'ontspanning', 'op_warmen', 'viering', 'energie', 'grappig', 'wakker', 'inspireren', 'blij', 'excited', 'normaal', 'krachtig', 'prima', 'ontspannen', 'lief', 'chillen', 'ça_va', 'amuseren', 'activeren', 'hopen', 'aanmoediging', 'happy', 'concentreren', 'zeker', 'top', 'genieten', 'rust', 'aangenaam', 'tof', 'verwelkomen', 'veilig', 'verband', 'ontspannend', 'bon', 'motiveren', 'deugd', 'plezant', 'spannend', 'oké', 'rustig', 'vriendelijk', 'heerlijk', 'tevreden', 'uit_kijken', 'productief', 'verliefd', 'zin']",3.231203391,123,44,"['rot', 'breinloos', 'aan_doen', 'pijn', 'gek', 'vrezen', 'verschrikkelijk', 'stress', 'in_trekken', 'verliezen', 'saai', 'teleur_stellen', 'negeren', 'missen', 'gevoelig', 'erg', 'terreur', 'raken', 'storen', 'ziek', 'frustreren', 'heftig', 'moe', 'lijden', 'overdrijven', 'vermoeiend', 'honger', 'drukken', 'last', 'op_fokken', 'emotioneel', 'twijfelen', 'lastig', 'onzeker', 'onverwacht', 'boos', 'shockeren', 'kwaad', 'uitdaging', 'slecht', 'spanning', 'onduidelijkheid', 'verlangen', 'schrik']",3.081058494,183742,2.242708333,0.456458333,20.66666667
!djox psjc,350,57,"['content', 'gelukkig', 'respecteren', 'gezellig', 'warm', 'vieren', 'vrij', 'plezier', 'interessant', 'boeien', 'gerust', 'lekker', 'relaxed', 'goed', 'leuk', 'voldoen', 'hartverwarmend', 'vertrouwen', 'fijn', 'ontspanning', 'energie', 'grappig', 'wakker', 'blij', 'normaal', 'prima', 'ontspannen', 'lief', 'chillen', 'dankbaar', 'levendig', 'hopen', 'happy', 'zeker', 'genieten', 'rust', 'na_genieten', 'uit_rusten', 'aangenaam', 'tof', 'positief', 'veilig', 'gerust_stellen', 'trots', 'geruststellend', 'ondersteunen', 'warmte', 'deugd', 'plezant', 'spannend', 'oké', 'rustig', 'heerlijk', 'verrijken', 'uit_kijken', 'productief', 'zin']",3.240437546,94,41,"['falen', 'afleiding', 'bang', 'pijn', 'gek', 'confronteren', 'ongeluk', 'schrikken', 'stress', 'vervelend', 'nerveus', 'teleur_stellen', 'wisselvallig', 'suf', 'piekeren', 'achter_laten', 'ongerust', 'erg', 'raken', 'twijfel', 'frustreren', 'heftig', 'moe', 'drukken', 'zenuwachtig', 'suïcidaal', 'war', 'lastig', 'onzeker', 'zot', 'boos', 'schuldig', 'bezorgen', 'onduidelijk', 'kwaad', 'af_wachten', 'overweldigen', 'naïef', 'slecht', 'spanning', 'frustrerend']",3.067704827,199141,3.832183099,1.261056338,22.2
!dnjs bydg,750,70,"['spontaan', 'focussen', 'gelukkig', 'steunen', 'kracht', 'warm', 'vieren', 'verrassing', 'vrij', 'plezier', 'interessant', 'boeien', 'rustgevend', 'lekker', 'chill', 'overtuigen', 'benieuwd', 'goed', 'leuk', 'behulpzaam', 'voldoen', 'gezond', 'aantrekkelijk', 'fijn', 'op_warmen', 'energie', 'grappig', 'rationeel', 'opgewekt', 'passie', 'relativeren', 'wakker', 'good', 'blij', 'excited', 'normaal', 'chilling', 'actief', 'ontspannen', 'kalmeren', 'lief', 'chillen', 'ça_va', 'amuseren', 'alright', 'hopen', 'hoop', 'zeker', 'love', 'uit_rusten', 'respect', 'aangenaam', 'tof', 'vrede', 'gerust_stellen', 'trots', 'concentratie', 'fine', 'bon', 'spannend', 'oké', 'rustig', 'geweldig', 'prikkelen', 'neutraal', 'cool', 'beter_gezind', 'geluk', 'productief', 'zin']",2.902020897,384,82,"['rot', 'stresserend', 'stresseren', 'stressen', 'aan_doen', 'angst', 'verdriet', 'verraden', 'bang', 'pijn', 'negatief', 'ongeluk', 'triestig', 'vrezen', 'verschrikkelijk', 'agressief', 'stress', 'verdrietig', 'verbreken', 'eenzaam', 'breakdown', 'nerveus', 'beu', 'vechten', 'gestresseerd', 'kut', 'saai', 'teleur_stellen', 'negeren', 'missen', 'frustratie', 'kapot', 'spijt', 'achter_laten', 'erg', 'raken', 'twijfel', 'prikkelbaar', 'storen', 'ziek', 'frustreren', 'heftig', 'vervelen', 'moe', 'sluiten', 'haten', 'vermoeiend', 'verlating_angst', 'honger', 'last', 'haat', 'zenuwachtig', 'emotioneel', 'irritant', 'twijfelen', 'verlaten', 'stroef', 'lastig', 'angstig', 'gevoelloos', 'teleur', 'onverwacht', 'lui', 'breken', 'over_slaan', 'conflict', 'gênant', 'boos', 'schuldig', 'eng', 'spijtig', 'af_wachten', 'kwetsen', 'af_leiden', 'slecht', 'spanning', 'minderen', 'paniek', 'doodop', 'schrik', 'frustrerend', 'onzekerheid']",3.511868024,183838,3.184508929,1.48375,22
